"movieId"	"title"	"budget"	"genres"	"spoken_languages"
"1"	"Toy Story"	"30000000"	"[{\"id\": 16, \"name\": \"Animation\"}, {\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"2"	"Jumanji"	"65000000"	"[{\"id\": 12, \"name\": \"Adventure\"}, {\"id\": 14, \"name\": \"Fantasy\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Français\", \"iso_639_1\": \"fr\"}]"
"3"	"Grumpier Old Men"	"0"	"[{\"id\": 10749, \"name\": \"Romance\"}, {\"id\": 35, \"name\": \"Comedy\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"4"	"Waiting to Exhale"	"16000000"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"5"	"Father of the Bride Part II"	"0"	"[{\"id\": 35, \"name\": \"Comedy\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"6"	"Heat"	"60000000"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 80, \"name\": \"Crime\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Español\", \"iso_639_1\": \"es\"}]"
"7"	"Sabrina"	"58000000"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"Français\", \"iso_639_1\": \"fr\"}, {\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"8"	"Tom and Huck"	"0"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 12, \"name\": \"Adventure\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Deutsch\", \"iso_639_1\": \"de\"}]"
"9"	"Sudden Death"	"35000000"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 12, \"name\": \"Adventure\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"10"	"GoldenEye"	"58000000"	"[{\"id\": 12, \"name\": \"Adventure\"}, {\"id\": 28, \"name\": \"Action\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Pусский\", \"iso_639_1\": \"ru\"}, {\"name\": \"Español\", \"iso_639_1\": \"es\"}]"
"11"	"The American President"	"62000000"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"12"	"Dracula: Dead and Loving It"	"0"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 27, \"name\": \"Horror\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Deutsch\", \"iso_639_1\": \"de\"}]"
"13"	"Balto"	"0"	"[{\"id\": 10751, \"name\": \"Family\"}, {\"id\": 16, \"name\": \"Animation\"}, {\"id\": 12, \"name\": \"Adventure\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"14"	"Nixon"	"44000000"	"[{\"id\": 36, \"name\": \"History\"}, {\"id\": 18, \"name\": \"Drama\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"15"	"Cutthroat Island"	"98000000"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 12, \"name\": \"Adventure\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Latin\", \"iso_639_1\": \"la\"}]"
"16"	"Casino"	"52000000"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 80, \"name\": \"Crime\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"17"	"Sense and Sensibility"	"16500000"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"18"	"Four Rooms"	"4000000"	"[{\"id\": 80, \"name\": \"Crime\"}, {\"id\": 35, \"name\": \"Comedy\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"19"	"Ace Ventura: When Nature Calls"	"30000000"	"[{\"id\": 80, \"name\": \"Crime\"}, {\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 12, \"name\": \"Adventure\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"20"	"Money Train"	"60000000"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 80, \"name\": \"Crime\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"21"	"Get Shorty"	"30250000"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 53, \"name\": \"Thriller\"}, {\"id\": 80, \"name\": \"Crime\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"22"	"Copycat"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Deutsch\", \"iso_639_1\": \"de\"}]"
"23"	"Assassins"	"50000000"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 12, \"name\": \"Adventure\"}, {\"id\": 80, \"name\": \"Crime\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Español\", \"iso_639_1\": \"es\"}, {\"name\": \"Nederlands\", \"iso_639_1\": \"nl\"}]"
"24"	"Powder"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 14, \"name\": \"Fantasy\"}, {\"id\": 878, \"name\": \"Science Fiction\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"25"	"Leaving Las Vegas"	"3600000"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"26"	"Othello"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"27"	"Now and Then"	"12000000"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"28"	"Persuasion"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"29"	"The City of Lost Children"	"18000000"	"[{\"id\": 14, \"name\": \"Fantasy\"}, {\"id\": 878, \"name\": \"Science Fiction\"}, {\"id\": 12, \"name\": \"Adventure\"}]"	"[{\"name\": \"广州话 / 廣州話\", \"iso_639_1\": \"cn\"}, {\"name\": \"Français\", \"iso_639_1\": \"fr\"}]"
"30"	"Shanghai Triad"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 80, \"name\": \"Crime\"}]"	"[{\"name\": \"普通话\", \"iso_639_1\": \"zh\"}]"
"31"	"Dangerous Minds"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 80, \"name\": \"Crime\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"32"	"Twelve Monkeys"	"29500000"	"[{\"id\": 878, \"name\": \"Science Fiction\"}, {\"id\": 53, \"name\": \"Thriller\"}, {\"id\": 9648, \"name\": \"Mystery\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Français\", \"iso_639_1\": \"fr\"}]"
"33"	"Wings of Courage"	"0"	"[{\"id\": 10749, \"name\": \"Romance\"}, {\"id\": 12, \"name\": \"Adventure\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"34"	"Babe"	"30000000"	"[{\"id\": 14, \"name\": \"Fantasy\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"35"	"Carrington"	"0"	"[{\"id\": 36, \"name\": \"History\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"36"	"Dead Man Walking"	"11000000"	"[{\"id\": 18, \"name\": \"Drama\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"37"	"Across the Sea of Time"	"0"	"[{\"id\": 12, \"name\": \"Adventure\"}, {\"id\": 36, \"name\": \"History\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"Pусский\", \"iso_639_1\": \"ru\"}, {\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"38"	"It Takes Two"	"0"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 10751, \"name\": \"Family\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"39"	"Clueless"	"12000000"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"Español\", \"iso_639_1\": \"es\"}, {\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"40"	"Cry, the Beloved Country"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"41"	"Richard III"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10752, \"name\": \"War\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"42"	"Dead Presidents"	"10000000"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 80, \"name\": \"Crime\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 36, \"name\": \"History\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"43"	"Restoration"	"19000000"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Español\", \"iso_639_1\": \"es\"}]"
"44"	"Mortal Kombat"	"18000000"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 14, \"name\": \"Fantasy\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"45"	"To Die For"	"20000000"	"[{\"id\": 14, \"name\": \"Fantasy\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"46"	"How To Make An American Quilt"	"10000000"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"47"	"Se7en"	"33000000"	"[{\"id\": 80, \"name\": \"Crime\"}, {\"id\": 9648, \"name\": \"Mystery\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"48"	"Pocahontas"	"55000000"	"[{\"id\": 12, \"name\": \"Adventure\"}, {\"id\": 16, \"name\": \"Animation\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"49"	"When Night Is Falling"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"50"	"The Usual Suspects"	"6000000"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 80, \"name\": \"Crime\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"Español\", \"iso_639_1\": \"es\"}, {\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Français\", \"iso_639_1\": \"fr\"}, {\"name\": \"Magyar\", \"iso_639_1\": \"hu\"}]"
"51"	"Guardian Angel"	"0"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 53, \"name\": \"Thriller\"}, {\"id\": 18, \"name\": \"Drama\"}]"	"[]"
"52"	"Mighty Aphrodite"	"15000000"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"53"	"Lamerica"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10769, \"name\": \"Foreign\"}]"	"[{\"name\": \"shqip\", \"iso_639_1\": \"sq\"}, {\"name\": \"Italiano\", \"iso_639_1\": \"it\"}]"
"54"	"The Big Green"	"0"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 12, \"name\": \"Adventure\"}, {\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Deutsch\", \"iso_639_1\": \"de\"}]"
"55"	"Georgia"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"56"	"Kids of the Round Table"	"0"	"[]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"57"	"Home for the Holidays"	"0"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Español\", \"iso_639_1\": \"es\"}]"
"58"	"The Postman"	"0"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"Italiano\", \"iso_639_1\": \"it\"}, {\"name\": \"Español\", \"iso_639_1\": \"es\"}]"
"59"	"The Confessional"	"0"	"[{\"id\": 53, \"name\": \"Thriller\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 9648, \"name\": \"Mystery\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Français\", \"iso_639_1\": \"fr\"}]"
"60"	"The Indian in the Cupboard"	"45000000"	"[{\"id\": 12, \"name\": \"Adventure\"}, {\"id\": 10751, \"name\": \"Family\"}, {\"id\": 14, \"name\": \"Fantasy\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"61"	"Eye for an Eye"	"20000000"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 53, \"name\": \"Thriller\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Français\", \"iso_639_1\": \"fr\"}, {\"name\": \"한국어/조선말\", \"iso_639_1\": \"ko\"}, {\"name\": \"Español\", \"iso_639_1\": \"es\"}]"
"62"	"Mr. Holland's Opus"	"0"	"[{\"id\": 10402, \"name\": \"Music\"}, {\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"63"	"Don't Be a Menace to South Central While Drinking Your Juice in the Hood"	"0"	"[{\"id\": 35, \"name\": \"Comedy\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Español\", \"iso_639_1\": \"es\"}]"
"64"	"Two If by Sea"	"0"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"65"	"Bio-Dome"	"15000000"	"[{\"id\": 35, \"name\": \"Comedy\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Pусский\", \"iso_639_1\": \"ru\"}]"
"66"	"Lawnmower Man 2: Beyond Cyberspace"	"0"	"[{\"id\": 28, \"name\": \"Action\"}, {\"id\": 878, \"name\": \"Science Fiction\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}, {\"name\": \"Magyar\", \"iso_639_1\": \"hu\"}]"
"67"	"Two Bits"	"0"	"[{\"id\": 18, \"name\": \"Drama\"}, {\"id\": 10751, \"name\": \"Family\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
"68"	"French Twist"	"0"	"[{\"id\": 35, \"name\": \"Comedy\"}, {\"id\": 10749, \"name\": \"Romance\"}]"	"[{\"name\": \"Français\", \"iso_639_1\": \"fr\"}, {\"name\": \"Español\", \"iso_639_1\": \"es\"}]"
"69"	"Friday"	"3500000"	"[{\"id\": 35, \"name\": \"Comedy\"}]"	"[{\"name\": \"English\", \"iso_639_1\": \"en\"}]"
